sperm_a,sperm_b,window_start_frame,window_end_frame,closest_frame,min_distance_px,segments_cross,crossing_frame,position_swap,approach_angle_deg,midpoint_x,midpoint_y,likelihood
57,79,155,160,158,0.19,True,156.0,True,77.2,890.06,886.08,0.997
86,88,233,236,234,11.68,True,234.0,True,155.7,492.6,427.67,0.813
86,90,239,243,241,8.23,False,,True,63.8,455.32,400.18,0.585
19,104,255,263,260,8.22,False,,True,106.4,54.12,961.35,0.585
37,64,150,161,153,8.37,False,,True,5.9,629.27,116.68,0.583
8,86,187,192,189,8.44,False,,True,107.9,776.07,621.74,0.582
32,36,13,31,21,9.08,False,,True,4.3,112.76,103.8,0.573
8,84,246,255,249,9.42,False,,True,21.2,799.12,587.55,0.568
71,85,205,211,207,9.65,False,,True,122.2,76.33,370.37,0.565
44,71,170,181,176,9.62,False,,True,128.1,150.16,258.27,0.565
71,74,107,112,109,10.83,False,,True,49.8,298.68,32.09,0.548
87,108,190,196,191,11.04,False,,True,110.1,827.54,895.6,0.545
22,97,260,263,263,16.99,False,,True,55.5,893.46,999.59,0.462
0,73,105,113,109,17.21,False,,True,154.9,935.05,21.94,0.459
37,90,176,182,180,17.32,False,,True,75.1,611.98,116.98,0.458
42,68,77,82,80,18.08,False,,True,2.5,562.35,24.92,0.447
27,59,187,189,187,19.22,False,,True,130.5,266.68,754.58,0.431
43,76,233,237,236,19.37,False,,True,126.8,883.62,447.08,0.429
0,72,107,110,109,20.71,False,,True,168.7,952.84,28.5,0.41
